run_id,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag
0,2.03125,14.3038,22.9214,11.7278,98.9961,3.75548,5.50282,90.6435,15.7045,3.35725,189.261,15.2463,14.4318
1,2.05864,4.32761,3.08184,24.9622,14.7752,7.51,3.12127,25.9583,159.438,1.5639,3.7352,3.66165,4.33546
2,10.8962,4.43676,1.3003,1.52893,11.812,8.13425,24.7212,14.2894,1.15148,4.31642,17.8892,1.09648,41.6484
3,1.11772,2.59026,3.25015,21.6321,131.935,78.4117,67.5527,113.578,1.15194,68.5612,8.56171,8.60559,32.3957
4,6.40713,1.60571,4.50162,68.4045,3.00633,26.7077,2.07829,102.359,6.36425,1.16609,7.39254,1.593,1.32421
5,124.474,26.3447,134.289,60.0324,1.52589,3.62712,1.29942,124.202,11.8117,8.85193,18.1836,12.0151,97.152
6,12.0834,146.82,2.66469,19.6272,24.704,1.51512,4.17978,1.53267,115.416,29.7627,122.494,21.289,19.5037
7,1.48283,24.0118,13.4237,28.6352,46.3306,17.7254,12.6008,1.94191,36.9666,98.1215,8.98622,5.85979,3.44101
8,20.4171,15.4892,15.4157,1.92787,1.33834,20.8522,4.42688,2.8815,21.0579,108.086,11.4379,47.5425,1.53454
9,28.8605,2.24949,41.5664,7.26738,5.06956,4.93572,5.42899,6.50183,2.73475,4.62219,12.7267,11.8416,48.4515
10,1.60561,136.826,5.35163,26.5676,24.9326,19.7123,1.62803,8.11525,1.01997,6.51282,171.464,2.04886,3.46656
11,18.9921,3.22757,3.19518,1.05228,183.16,105.708,4.07897,57.8287,5.31768,5.20582,46.5989,17.7811,2.75539
12,65.3573,29.6277,1.47754,3.45391,9.9769,2.2649,1.18944,14.7889,4.11147,1.66888,6.53629,10.9469,1.98093
13,3.23224,142.02,4.14356,23.2314,134.466,3.41636,1.18734,99.8545,3.95102,10.5203,29.6459,1.13751,3.20702
14,9.17186,66.0993,128.74,93.5534,5.39561,24.0066,68.3041,13.7832,12.4943,25.086,1.28508,16.3537,2.56514
15,3.75148,5.54096,6.39719,5.78092,9.02087,1.19212,1.58929,8.06515,2.593,15.0846,42.8886,11.0566,125.886
16,4.68764,96.2168,3.73916,51.5496,1.12792,2.87596,3.49546,13.5135,3.61509,120.201,125.584,27.3948,2.82921
17,70.2299,102.472,11.8692,1.31013,1.12752,66.5377,128.582,24.9025,163.181,27.069,27.7466,6.15132,16.9088
18,12.3317,1.49669,1.95817,8.59095,1.76452,29.2757,6.83004,9.52312,3.84015,53.1781,1.62914,34.6372,1.38785
19,4.17399,13.3395,95.0672,1.91854,3.47036,1.11129,75.6088,1.73937,18.803,26.1607,82.6232,45.1222,20.9303
20,4.54536,9.96962,17.1956,6.60632,59.0985,18.0025,5.1035,23.4434,1.20953,9.09452,77.5661,28.1655,62.8943
21,52.7011,92.369,7.48927,6.03761,7.02735,27.8227,55.0097,115.755,1.76842,85.4879,11.5744,14.2866,1.08228
22,11.3021,2.42767,66.1427,160.54,2.86074,1.29483,102.549,154.824,2.21965,4.08151,3.69862,36.3651,17.1628
23,5.05683,42.7972,3.72836,9.03187,59.3623,39.6452,52.6016,137.185,1.42847,54.653,1.9914,141.941,10.8795
24,5.49132,16.4942,2.41885,33.1473,102.694,194.375,122.292,2.13087,10.7056,22.6166,136.481,85.3981,2.22834
25,1.82042,5.32517,11.2344,11.0539,1.39466,7.11414,5.71779,3.98834,7.99558,1.16202,103.465,5.53964,2.22621
26,1.88094,128.611,1.20958,3.27629,1.49871,2.52572,80.817,6.39016,2.05968,1.21342,8.36172,70.7359,69.0694
27,1.44176,18.1048,162.302,2.18993,7.53373,3.93398,147.149,7.10307,34.922,12.7281,13.3745,194.186,13.7649
28,39.5506,4.274,55.9522,2.09713,57.4164,18.7968,149.619,1.38701,6.55371,12.7186,1.81251,9.26561,58.3872
29,30.8453,1.5318,96.3245,64.4604,47.2145,17.4625,1.64948,198.93,11.9115,1.23896,106.634,9.83336,1.22573
30,65.5491,2.61705,105.64,189.215,2.57051,19.8646,2.20606,42.5579,25.1402,93.9397,159.238,26.7016,194.388
31,7.98647,180.705,6.98844,1.36586,30.6065,4.01901,7.68934,7.03062,10.8131,2.45934,144.445,1.03277,6.13284
32,16.5291,26.2862,1.80124,101.397,24.4044,190.991,1.69086,5.8031,101.543,77.0291,2.83989,4.23375,12.8631
33,8.2375,22.3153,1.75436,95.8203,23.9432,24.1976,43.0269,17.0406,7.21271,1.08833,150.65,6.19492,3.2966
34,2.73907,49.8019,14.0467,2.96892,6.21086,144.571,46.138,22.3311,3.06616,8.26145,23.4377,176.753,44.1362
35,23.5719,77.7675,53.2695,74.2842,7.68776,150.197,20.6202,11.5868,171.382,105.701,81.3685,1.66202,7.43673
36,110.242,87.102,1.06664,125.898,26.0181,21.4015,3.32279,1.95908,2.67413,174.279,4.8228,2.84764,164.911
37,7.1116,2.25614,63.8976,83.0628,5.58307,3.20521,3.03503,36.6854,8.1422,3.93378,19.8338,13.0419,3.72412
38,1.22564,14.6624,21.5662,9.67428,18.3293,70.8519,193.709,15.2352,92.9649,2.8544,7.74371,12.684,138.729
39,4.47903,41.1728,6.77767,23.0568,26.7719,3.3088,30.0501,8.43591,6.2898,20.4792,40.8482,58.4714,5.31798
40,108.439,2.17608,28.7253,14.1933,3.08255,56.3692,142.591,7.44818,7.81495,4.17506,23.0543,106.781,138.115
41,3.99744,68.1582,2.56656,1.55371,7.51801,1.4326,23.4057,78.1212,13.0935,5.55845,186.181,107.501,9.14441
42,15.7224,2.81505,26.0132,38.221,118.732,19.0963,5.79808,13.4357,5.37728,182.111,157.59,3.03653,78.7501
43,1.10886,1.13502,80.5723,5.0006,1.99921,6.78077,24.2591,16.2057,1.30211,16.1661,93.9192,27.7837,6.58284
44,14.6151,112.072,109.825,2.42488,13.5013,14.2402,97.974,170.149,10.7427,2.14828,179.089,194.439,173.187
45,197.866,3.10712,82.2867,22.3645,68.8564,9.1363,1.067,1.52016,6.21578,1.54812,23.8763,1.36238,45.6983
46,25.0796,1.12664,31.6915,26.419,74.8554,11.1834,5.71323,4.0372,1.05858,87.0348,16.5606,6.26834,16.9709
47,137.629,1.08106,3.90367,8.10624,1.60123,1.55572,67.57,44.1164,1.69535,1.68128,36.3276,72.0399,3.6102
48,101.237,16.2461,6.09349,136.645,1.89166,42.3344,8.95116,146.617,6.46877,120.471,3.83032,148.638,3.74181
49,2.35815,8.00616,82.9257,4.19121,9.21121,54.6062,5.563,3.37488,5.96656,1.39136,36.9959,8.9617,105.155
50,67.4864,2.54082,1.47206,115.088,63.0632,26.4853,2.00174,46.5615,68.8468,13.4654,4.57932,5.58201,1.01805
51,13.6883,1.43368,36.6955,5.46178,1.07728,22.8015,37.1914,31.0152,1.38347,88.1561,1.03775,22.6065,1.31922
52,18.4577,97.0297,16.2883,34.16,43.7368,63.0278,164.111,42.6095,63.3782,2.31634,19.9118,51.7709,4.24567
53,47.3688,2.46897,173.92,29.6848,161.244,3.50962,162.184,8.32231,10.1244,17.2047,7.53911,17.709,1.31909
54,1.07707,28.3603,1.63143,49.3255,91.1603,18.4131,105.885,3.21041,4.09644,12.433,13.3265,1.84307,3.03842
55,10.815,9.37232,11.2046,7.47431,40.2154,2.2655,46.2251,9.61919,1.03946,11.7322,98.0984,187.663,1.20371
56,2.63793,2.04754,16.9285,87.9977,2.79651,34.0349,8.6112,3.25493,92.4791,117.985,6.48362,54.7184,110.953
57,1.35019,34.2217,141.173,58.1884,2.2093,1.30769,33.4443,135.33,1.92752,125.571,3.41675,1.49003,156.146
58,2.76157,7.69208,1.32529,117.871,7.54409,70.4918,1.0489,3.56589,2.25357,130.134,1.49494,11.6272,116.985
59,1.067,31.2593,45.9808,5.37785,9.45035,59.1713,5.61359,2.67366,2.36043,3.39917,1.45135,1.58304,2.94143
60,1.56469,15.0498,187.448,3.42822,15.8294,15.3282,9.64603,16.3834,8.15453,100.242,59.8479,184.068,11.3687
61,1.00322,58.7349,15.3332,5.11325,4.97588,7.8319,45.9959,3.21139,51.0371,7.74357,10.9981,5.25842,4.40113
62,2.03435,1.85049,1.01178,19.7367,2.01389,22.0597,49.0723,3.63908,123.395,20.1506,2.32606,1.64616,11.1802
63,3.39726,4.59943,19.9566,7.56302,47.1691,28.2498,114.758,15.9961,1.59354,8.48635,3.53656,2.90521,119.827
64,124.411,154.265,20.4197,16.4347,15.3731,14.7113,123.171,9.64785,5.25705,177.786,133.958,19.4156,141.475
65,21.1412,3.34214,2.89513,83.8716,44.4244,14.4804,2.28993,191.498,4.94578,15.3861,3.12579,49.4771,145.054
66,132.996,1.0229,1.06936,43.9999,88.8518,2.62613,2.98768,158.001,1.74498,23.6051,21.5397,47.8724,115.223
67,1.13784,8.97081,3.94296,3.62946,1.73156,5.06866,118.952,1.33231,1.32153,73.8775,3.82366,142.384,120.466
68,57.3368,15.1112,29.47,1.88263,1.96613,5.46379,60.1336,64.0401,156.892,2.75048,55.5186,1.52969,62.1733
69,52.7621,1.48626,1.79035,24.584,5.94202,121.551,148.429,10.7645,68.8953,133.561,7.34615,1.21096,21.139
70,56.9252,4.28016,32.2071,9.12134,155.359,1.50231,48.3316,158.746,17.8524,13.7138,3.16476,69.8914,4.01238
71,185.664,135.363,13.4396,10.179,4.61865,11.4147,12.1677,86.5817,117.257,2.41192,10.5612,2.1676,2.43619
72,19.8536,50.6953,1.96513,9.68901,2.09216,19.1199,94.4224,3.67124,5.34508,2.57901,116.455,69.4058,14.1407
73,13.0685,9.35536,1.61257,3.39647,5.31578,5.18591,5.71901,3.02018,10.0484,7.58111,7.00254,23.9466,1.44117
74,3.67823,2.51263,6.01496,3.18567,152.116,3.79752,3.08231,4.06621,30.8748,1.46299,38.4508,2.02,31.4397
75,162.252,3.77249,22.1046,4.5482,64.2284,38.5361,9.43072,2.13136,73.7762,148.914,6.28007,3.44552,2.12293
76,33.0699,68.9969,1.7423,21.3023,37.2168,2.23892,45.1482,2.50727,73.2257,188.431,154.776,148.852,25.6297
77,17.5452,33.4852,9.58713,2.75307,3.89935,3.66523,2.4225,21.7068,1.97822,33.2646,2.71599,115.044,12.1937
78,23.5803,53.9144,70.0025,63.5609,42.5422,169.976,51.2469,61.7522,59.0043,1.90588,181.881,10.7329,21.4997
79,20.6597,1.0395,2.08494,108.418,38.0435,2.06508,119.572,47.5151,14.4945,1.8906,33.471,1.97437,7.05028
80,38.1938,93.0938,9.79974,3.99539,91.8901,11.109,1.08571,5.72232,170.98,71.585,1.76872,110.337,3.68572
81,45.3852,65.9775,20.0718,14.1479,38.4015,115.35,12.8068,3.13778,20.0401,3.76348,17.8534,4.19145,13.6099
82,11.3881,6.08164,1.58369,5.19094,1.6564,49.7428,3.44462,180.984,93.5819,1.20495,1.59545,27.2882,72.9932
83,28.9829,1.61544,7.71759,1.33365,25.2644,28.3276,1.68997,195.25,52.0319,3.14236,3.61145,63.6554,10.0558
84,60.377,95.7921,4.46024,2.59468,164.749,23.2847,88.1331,1.50492,79.34,175.92,10.9571,1.38122,93.4762
85,115.305,4.48161,2.58311,4.96289,6.51937,184.933,141.726,85.4427,9.99787,104.416,77.709,31.6608,2.88144
86,35.2699,50.4344,18.73,2.31608,7.75125,6.85522,166.145,2.15987,2.11527,1.82761,2.80419,1.08588,135.286
87,6.76723,3.33211,134.898,6.22579,48.7686,43.1751,1.1231,24.9111,8.00734,70.6733,5.39773,1.61745,7.71621
88,1.06207,15.6482,2.88865,47.41,88.8781,6.55767,10.676,18.2804,3.03175,1.05508,5.05876,1.84573,2.37462
89,2.132,4.3195,5.61875,1.99419,20.1137,193.059,3.86727,5.31601,3.55055,18.9081,17.8314,49.4462,4.57604
90,13.6952,9.00729,79.1135,1.19375,173.527,25.2925,40.987,49.551,11.648,13.0315,26.3206,8.2901,9.44547
91,47.3332,12.5664,131.719,13.1123,3.53566,10.108,1.01235,47.9074,6.11925,1.05463,1.40175,4.01014,4.21717
92,62.3116,80.2958,103.559,76.224,8.04821,17.5965,1.49264,25.7851,190.346,1.28855,76.6606,58.8991,1.97193
93,4.19417,11.1245,7.68539,8.23576,153.416,94.3176,3.02707,10.6596,70.5541,33.8262,62.5021,13.4245,6.99668
94,2.10588,34.4947,50.7331,2.01016,25.6338,1.24959,1.96741,6.15246,182.106,51.9154,27.5694,11.214,3.1248
95,59.9109,65.4824,62.5115,13.6881,9.55531,6.92614,73.8745,49.2037,22.3854,28.9675,14.7372,36.2371,7.9581
96,12.2821,1.90909,4.79005,15.0556,35.7478,127.614,77.8568,5.14251,76.519,4.40456,4.17362,12.6505,3.14295
97,166.866,4.57809,154.309,1.09875,95.1382,53.1866,3.54791,3.42022,146.447,62.3315,19.9999,131.594,14.522
98,112.455,1.30304,54.7749,2.70258,14.3506,5.17011,20.3897,7.32172,5.03607,45.8075,121.946,138.304,134.415
99,36.9216,46.347,195.726,8.1132,8.10894,12.3838,16.3622,111.779,1.02919,1.3712,106.388,29.1496,17.1569
100,29.468,1.63701,4.14575,3.61227,67.7016,17.2315,2.59501,158.182,1.10359,13.1262,12.4303,15.4283,19.4261
101,105.223,12.4791,9.55001,64.0964,65.3957,3.19149,64.7725,29.7815,48.1084,45.4082,113.93,43.1523,110.384
102,57.3855,31.8041,1.06348,1.59663,123.86,22.9001,3.00794,3.85133,60.0324,16.3009,39.7918,1.73611,4.58457
103,1.25684,5.47886,1.5847,97.0638,45.3066,3.67238,138.046,47.3537,7.60044,21.3973,50.4821,153.066,61.3284
