real_name,obd_irr_paddy_20160531,obd_irr_paddy_20160630,obd_irr_paddy_20160731,obd_irr_paddy_20160831,obd_irr_paddy_20160930,obd_irr_paddy_20170531,obd_irr_paddy_20170630,obd_irr_paddy_20170731,obd_irr_paddy_20170831,obd_irr_paddy_20170930,obd_irr_paddy_20180531,obd_irr_paddy_20180630,obd_irr_paddy_20180731,obd_irr_paddy_20180831,obd_irr_paddy_20180930,obd_irr_paddy_20190531,obd_irr_paddy_20190630,obd_irr_paddy_20190731,obd_irr_paddy_20190831,obd_irr_paddy_20190930,obd_irr_paddy_20200531,obd_irr_paddy_20200630,obd_irr_paddy_20200731,obd_irr_paddy_20200831,obd_irr_paddy_20200930,obd_irr_paddy_20210531,obd_irr_paddy_20210630,obd_irr_paddy_20210731,obd_irr_paddy_20210831,obd_irr_paddy_20210930,obd_irr_paddy_20220531,obd_irr_paddy_20220630,obd_irr_paddy_20220731,obd_irr_paddy_20220831,obd_irr_paddy_20220930
0,431.37,470.601,633.79,535.375,178.65,449.206,464.689,620.817,538.199,159.537,432.271,431.604,646.099,567.509,168.202,432.153,461.917,640.988,567.179,170.832,402.348,442.963,602.457,567.592,175.054,421.817,422.496,589.617,526.048,146.416,437.828,468.326,623.555,599.756,182.603
1,431.407,470.639,633.816,535.406,178.663,449.243,464.727,620.84,538.224,159.541,432.304,431.644,646.129,567.555,168.21,432.187,461.952,641.017,567.205,170.829,402.381,443,602.463,567.637,175.065,421.849,422.524,589.644,526.074,146.417,437.87,468.362,623.58,599.796,182.605
2,431.195,470.425,633.646,535.264,178.599,449.032,464.509,620.687,538.078,159.49,432.119,431.416,645.939,567.385,168.153,431.998,461.751,640.832,567.052,170.78,402.194,442.791,602.325,567.461,175.005,421.668,422.363,589.488,525.944,146.374,437.632,468.148,623.424,599.589,182.539
3,431.335,470.567,633.742,535.334,178.618,449.172,464.653,620.771,538.09,159.484,432.241,431.567,646.051,567.427,168.175,432.123,461.884,640.942,567.065,170.731,402.318,442.928,602.334,567.555,175.029,421.788,422.467,589.59,525.982,146.361,437.79,468.282,623.51,599.585,182.512
4,431.237,470.468,633.668,535.457,178.688,449.074,464.553,620.764,538.376,159.527,432.156,431.461,645.983,568.097,168.193,432.036,461.791,640.875,567.403,170.825,402.232,442.832,602.325,567.859,175.07,421.704,422.393,589.53,526.221,146.397,437.679,468.184,623.461,600.661,182.712
5,431.395,470.627,633.779,535.552,178.723,449.231,464.715,620.874,538.443,159.529,432.293,431.631,646.113,568.232,168.224,432.176,461.94,641.003,567.479,170.787,402.371,442.986,602.369,567.992,175.102,421.838,422.51,589.649,526.293,146.396,437.857,468.335,623.565,600.76,182.705
6,431.351,470.582,633.759,535.471,178.691,449.187,464.669,620.786,538.295,159.527,432.255,431.584,646.071,567.835,168.205,432.137,461.899,640.959,567.322,170.812,402.332,442.944,602.362,567.77,175.071,421.801,422.48,589.601,526.154,146.399,437.807,468.299,623.529,600.216,182.646
7,431.403,470.636,633.815,535.428,178.675,449.24,464.724,620.839,538.259,159.548,432.3,431.64,646.127,567.619,168.214,432.184,461.948,641.015,567.248,170.843,402.378,442.996,602.467,567.669,175.071,421.846,422.522,589.641,526.101,146.424,437.866,468.359,623.579,599.901,182.629
8,431.018,470.246,633.515,535.333,178.639,448.854,464.325,620.662,538.334,159.507,431.965,431.224,645.809,568.077,168.148,431.839,461.582,640.706,567.37,170.838,402.038,442.616,602.254,567.726,175.022,421.516,422.228,589.389,526.164,146.383,437.431,467.966,623.327,600.697,182.714
9,432.896,472.145,635.025,536.476,179.156,450.732,466.265,621.925,539.388,159.941,433.6,433.254,647.477,568.959,168.634,433.517,463.368,642.327,568.449,171.252,403.697,444.468,603.5,568.973,175.511,423.122,423.818,590.738,527.089,146.765,439.55,469.879,624.689,601.626,183.175
