real_name,obd_irr_paddy_20160531,obd_irr_paddy_20160630,obd_irr_paddy_20160731,obd_irr_paddy_20160831,obd_irr_paddy_20160930,obd_irr_paddy_20170531,obd_irr_paddy_20170630,obd_irr_paddy_20170731,obd_irr_paddy_20170831,obd_irr_paddy_20170930,obd_irr_paddy_20180531,obd_irr_paddy_20180630,obd_irr_paddy_20180731,obd_irr_paddy_20180831,obd_irr_paddy_20180930,obd_irr_paddy_20190531,obd_irr_paddy_20190630,obd_irr_paddy_20190731,obd_irr_paddy_20190831,obd_irr_paddy_20190930,obd_irr_paddy_20200531,obd_irr_paddy_20200630,obd_irr_paddy_20200731,obd_irr_paddy_20200831,obd_irr_paddy_20200930,obd_irr_paddy_20210531,obd_irr_paddy_20210630,obd_irr_paddy_20210731,obd_irr_paddy_20210831,obd_irr_paddy_20210930,obd_irr_paddy_20220531,obd_irr_paddy_20220630,obd_irr_paddy_20220731,obd_irr_paddy_20220831,obd_irr_paddy_20220930
0,438.782,478.094,639.787,540.563,180.935,456.616,472.335,626.205,543.532,161.436,438.722,439.612,652.791,573.451,170.242,439,468.959,647.489,572.735,172.752,408.901,451.297,607.568,573.741,177.181,428.151,428.296,595.055,530.706,148.06,446.116,475.866,629.054,607.233,185.097
1,438.782,478.094,639.772,540.563,180.924,456.616,472.335,626.189,543.484,161.405,438.722,439.612,652.779,573.443,170.232,439,468.959,647.477,572.688,172.688,408.901,451.296,607.494,573.748,177.171,428.151,428.294,595.054,530.685,148.028,446.116,475.858,629.039,607.177,185.047
2,438.782,478.094,639.778,540.558,180.928,456.616,472.335,626.196,543.503,161.418,438.722,439.612,652.784,573.441,170.237,439,468.959,647.483,572.704,172.716,408.901,451.297,607.525,573.743,177.175,428.151,428.295,595.054,530.692,148.042,446.116,475.861,629.046,607.196,185.068
3,438.782,478.094,639.75,540.55,180.915,456.616,472.335,626.164,543.319,161.31,438.722,439.612,652.73,573.34,170.185,439,468.959,647.433,572.49,172.481,408.901,451.294,607.328,573.721,177.127,428.151,428.285,595.05,530.536,147.925,446.116,475.829,629.027,606.844,184.881
4,438.782,478.094,639.768,540.739,181.004,456.616,472.335,626.279,543.752,161.388,438.722,439.612,652.799,574.246,170.246,439,468.959,647.482,572.959,172.634,408.901,451.294,607.451,574.124,177.205,428.151,428.287,595.088,530.927,148.005,446.116,475.838,629.094,608.232,185.15
5,438.782,478.094,639.774,540.746,181.007,456.616,472.335,626.293,543.415,161.285,438.722,439.611,652.682,574.115,170.134,439,468.958,647.374,572.751,172.374,408.901,451.286,607.063,574.078,177.098,428.151,428.265,595.085,530.568,147.871,446.116,475.764,629.101,607.951,184.935
6,438.782,478.094,639.824,540.882,181.071,456.616,472.335,626.423,543.896,161.409,438.722,439.612,653.076,574.251,170.245,439,468.959,647.589,573,172.638,408.901,451.294,607.472,574.22,177.218,428.151,428.287,595.129,531.044,148.019,446.116,475.836,629.385,608.385,185.175
7,438.782,478.094,639.777,540.589,180.941,456.616,472.335,626.195,543.54,161.422,438.722,439.612,652.785,573.53,170.24,439,468.959,647.481,572.748,172.721,408.901,451.297,607.517,573.785,177.181,428.151,428.294,595.055,530.73,148.044,446.116,475.86,629.046,607.325,185.088
8,438.782,478.094,639.816,540.805,181.036,456.616,472.335,626.356,543.925,161.477,438.722,439.612,652.866,574.442,170.285,439,468.959,647.538,573.16,172.8,408.901,451.297,607.597,574.189,177.242,428.151,428.293,595.123,531.095,148.088,446.116,475.858,629.147,608.676,185.316
9,438.782,478.094,639.775,540.656,180.971,456.616,472.335,626.193,543.622,161.433,438.722,439.612,652.788,573.724,170.25,439,468.959,647.48,572.85,172.738,408.901,451.297,607.507,573.873,177.195,428.151,428.294,595.055,530.81,148.053,446.116,475.859,629.05,607.606,185.136
10,438.782,478.094,639.75,540.565,180.923,456.616,472.335,626.164,543.256,161.288,438.722,439.611,652.7,573.348,170.159,439,468.959,647.405,572.445,172.385,408.901,451.292,607.232,573.734,177.105,428.151,428.279,595.048,530.474,147.899,446.116,475.811,629.028,606.815,184.838
11,438.782,478.094,639.775,540.74,181.005,456.616,472.335,626.206,543.28,161.263,438.722,439.611,652.645,573.781,170.116,439,468.958,647.346,572.616,172.341,408.901,451.286,607.014,573.952,177.078,428.151,428.265,595.053,530.459,147.855,446.116,475.764,629.056,607.459,184.846
12,438.782,478.094,641.328,543.165,181.92,456.616,472.335,629.74,547.442,161.852,438.722,439.611,654.795,578.333,170.39,438.295,462.819,646.259,575.797,173.099,408.901,445.675,606.898,577.085,177.596,428.151,421.89,593.579,532.919,148.26,441.337,465.815,632.191,612.457,185.761
13,438.782,478.094,639.854,540.915,181.086,456.616,472.335,626.397,543.92,161.452,438.722,439.612,652.917,574.624,170.284,439,468.959,647.583,573.236,172.766,408.901,451.296,607.603,574.297,177.249,428.151,428.291,595.197,531.159,148.075,446.116,475.85,629.27,608.943,185.323
14,438.782,478.094,639.75,540.656,180.965,456.616,472.335,626.165,543.309,161.288,438.722,439.611,652.681,573.591,170.15,439,468.958,647.381,572.56,172.378,408.901,451.29,607.148,573.847,177.103,428.151,428.274,595.046,530.51,147.891,446.116,475.796,629.036,607.154,184.869
15,438.782,478.094,639.762,540.72,180.995,456.616,472.335,626.264,543.385,161.28,438.722,439.611,652.669,574.04,170.13,439,468.958,647.367,572.727,172.368,408.901,451.286,607.048,574.058,177.095,428.151,428.265,595.072,530.544,147.868,446.116,475.764,629.086,607.842,184.915
16,438.782,478.094,639.75,540.554,180.917,456.616,472.335,626.164,543.206,161.275,438.722,439.611,652.687,573.299,170.145,439,468.958,647.393,572.409,172.359,408.901,451.291,607.191,573.715,177.091,428.151,428.277,595.047,530.427,147.884,446.116,475.804,629.028,606.731,184.805
17,438.782,478.094,639.816,540.838,181.05,456.616,472.335,626.291,543.782,161.412,438.722,439.612,652.87,574.477,170.269,439,468.959,647.54,573.118,172.709,408.901,451.295,607.528,574.205,177.228,428.151,428.29,595.146,531.06,148.046,446.116,475.845,629.175,608.615,185.239
18,373.489,407.028,588.289,498.622,162.059,388.348,403.143,579.956,499.641,145.438,383.099,370.222,595.611,525.269,152.832,380.967,396.846,587.058,524.106,155.378,345.67,381.154,557.367,519.489,157.155,373.577,362.506,541.737,481.17,130.682,363.55,378.416,563.341,540.884,160.893
19,438.782,478.094,639.832,540.857,181.06,456.616,472.335,626.319,543.819,161.437,438.722,439.612,652.891,574.527,170.279,439,468.959,647.558,573.178,172.752,408.901,451.296,607.563,574.222,177.238,428.151,428.292,595.153,531.1,148.067,446.116,475.85,629.195,608.745,185.29
20,438.782,478.094,639.75,540.559,180.919,456.616,472.335,626.164,543.312,161.307,438.722,439.611,652.724,573.356,170.18,439,468.959,647.427,572.487,172.462,408.901,451.293,607.307,573.731,177.124,428.151,428.284,595.05,530.529,147.92,446.116,475.825,629.028,606.859,184.876
